source,title,published_at,currencies,full_news_url,description
AMBCrypto,Could BNB’s diminishing enthusiasm have investors rethink their 2023 investments,2022-12-26T01:30:59Z,BNB,https://cryptopanic.com/news/17238555/Could-BNBs-diminishing-enthusiasm-have-investors-rethink-their-2023-investments,"BNB released its weekly stats and December stars list  Metrics showed signs of recovery but indicators were against a price surge  Binance Coin [BNB] recently released its weekly stats, pointing out how the network performed over the last seven days. BNB revealed that its weekly transactions exceeded 16 million, and its daily average transactions were […]"
Bitcoin.com,"Mark Cuban: Bitcoin Is a Good Investment, Gold Investors Are Dumb",2022-12-26T01:30:22Z,BTC,https://cryptopanic.com/news/17238556/Mark-Cuban-Bitcoin-Is-a-Good-Investment-Gold-Investors-Are-Dumb,"Shark Tank star and the owner of the NBA team Dallas Mavericks, Mark Cuban, says bitcoin is a good investment. The billionaire wants the price of the cryptocurrency to fall further so he can buy some more. Meanwhile, he insulted gold investors, calling them “dumb as f***.” Mark Cuban Prefers Bitcoin Over Gold Shark Tank […]"
Feed - Cryptopotato.Com,"Institutions Are Not Interested in Crypto, Says JPMorgan Senior Strategist",2022-12-26T01:22:09Z,BTC,https://cryptopanic.com/news/17238548/Institutions-Are-Not-Interested-in-Crypto-Says-JPMorgan-Senior-Strategist,"<p>Institutional investors feel relieved they stayed away from crypto, said Jared Gross.</p>"
Forkast.News,"Markets: Bitcoin, Ether little changed; Dogecoin falls",2022-12-26T01:20:27Z,"BTC,ETH,DOGE",https://cryptopanic.com/news/17238549/Markets-Bitcoin-Ether-little-changed-Dogecoin-falls,"Bitcoin and Ether changed little on Monday morning, along with nearly all other non-stablecoin top 10 cryptocurrencies by market capitalization."
CEO of Metal,"RT @Oonabot: Merry Christmas my #Dogecoin #Dogemas Friends  
#dogearmy #MerryChristmas #MerryDogemas $DOGE",2022-12-26T00:29:11Z,"MTL,DOGE",https://cryptopanic.com/news/17238499/RT-Oonabot-Merry-Christmas-my-Dogecoin-Dogemas-Friends-dogearmy-MerryChristmas-MerryDogemas-DOGE,
AMBCrypto,"Amid vanishing Bitcoin whales, these BTC investors seem ready to hold the fort",2022-12-25T23:30:16Z,BTC,https://cryptopanic.com/news/17238457/Amid-vanishing-Bitcoin-whales-these-BTC-investors-seem-ready-to-hold-the-fort,"Retail investors show interest in Bitcoin, whereas whales seemed disinterested  Activity on Bitcoin declines, however, BTC’s market cap dominance grows According to data provided by Glassnode, it was observed that the number of addresses holding more than 0.01 Bitcoin [BTC] had reached an all-time high. This was indicative of massive interest in Bitcoin coming from […]"
Feed - Cryptopotato.Com,Billionaire Investor Bill Miller Sees Fresh Opportunities for Bitcoin Amid Sell-off,2022-12-25T22:44:45Z,BTC,https://cryptopanic.com/news/17238419/Billionaire-Investor-Bill-Miller-Sees-Fresh-Opportunities-for-Bitcoin-Amid-Sell-off,<p>Miller was surprised to see Bitcoin did not slash half of its current price following the FTX implosion.</p>
AMBCrypto,Bitcoin Cash offers short sellers an opportunity but does the risk warrant it,2022-12-25T22:30:44Z,"BTC,BCH",https://cryptopanic.com/news/17238414/Bitcoin-Cash-offers-short-sellers-an-opportunity-but-does-the-risk-warrant-it,"Disclaimer: The information presented does not constitute financial, investment, trading, or other types of advice and is solely the writer’s opinion The market structure was bearish on the 12-hour timeframe Combined with technical indicators, a rally seemed unlikely Volatility is an absolute necessity for traders. Investors might dislike or fear volatility but traders, especially lower […]"
CoinTelegraph,Time in the market: Ways to approach crypto investing in 2023,2022-12-25T21:40:57Z,BTC,https://cryptopanic.com/news/17238369/Time-in-the-market-Ways-to-approach-crypto-investing-in-2023,"<p>After a challenging year, should investors still consider investing in crypto in 2023? </p>"
Cryptonews,XRP Price Prediction – Will XRP Break the $3 Mark in 2023?,2022-12-25T21:36:00Z,XRP,https://cryptopanic.com/news/17238370/XRP-Price-Prediction-Will-XRP-Break-the-3-Mark-in-2023,"<p>Given the market slowdown, XRP price prediction remains bearish, as it has broken through a symmetrical support level at $0.3735. However, XRP is now trading just below the double-bottom support becoming a resistance level of $0.3565. Will XRP break the $3 mark? Let's find out!&#160; <br>
Vitalik Buterin has recently gone on the offensive against Ripple and XRP, focusing on the tokenomics and...</p></body></html>
"
