step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy,classification/accuracy,classification/precision,classification/recall,classification/auroc,classification/auprc,classification/f1.0
1,178,2,0.5118615149043514,0.0,0.0,0.6036011618750217,0.0,0.0,,,,,,
2,420,4,0.3379197092362374,0.0,0.0,,,,,,,,,
3,662,6,0.29806289060277774,0.0,0.0,,,,,,,,,
4,888,8,0.24474444773873985,0.0,0.0,,,,,,,,,
5,1098,10,0.18175121142292763,0.0,0.0,,,,,,,,,
6,1308,12,0.1596032124074299,0.0,0.0,,,,,,,,,
7,1550,14,0.0676561741209989,0.0,0.6,,,,,,,,,
8,1792,16,0.03704164194148567,0.5,0.8,,,,,,,,,
9,1922,18,0.049442998796148455,0.5,0.8,0.04288910551572274,0.5,0.75,,,,,,
10,2164,20,0.042296203053284756,0.0,0.6,,,,,,,,,
11,2294,22,0.058916123941835395,0.5,0.8,,,,,,,,,
12,2408,24,0.08159322831115527,0.5,0.8,,,,,,,,,
13,2634,26,0.05167811515650101,0.0,0.6666666666666666,,,,,,,,,
14,2860,28,0.06666389717908584,0.5,0.8,,,,,,,,,
15,3118,30,0.024778334601599,1.0,1.0,,,,,,,,,
16,3312,32,0.05628470970332122,0.5,0.8,,,,,,,,,
17,3554,34,0.0447166326152607,0.5,0.8,0.033277577695939725,1.0,1.0,,,,,,
18,3668,36,0.09373089228652784,0.0,0.6666666666666666,,,,,,,,,
19,3878,38,0.03622803887387888,1.0,1.0,,,,,,,,,
20,4136,40,0.06016857117086601,0.5,0.8,,,,,,,,,
21,4410,42,0.05973747603850235,0.5,0.8,,,,,,,,,
22,4668,44,0.05598824194718929,0.5,0.8,,,,,,,,,
23,4798,46,0.036563089026494716,1.0,1.0,,,,,,,,,
24,5056,48,0.040072732532757414,0.5,0.8,,,,,,,,,
25,5314,50,0.04927828184309192,0.0,0.6666666666666666,0.03898027144406764,0.5,0.8333333333333334,,,,,,
26,5556,52,0.0433841369105697,0.5,0.8333333333333334,,,,,,,,,
27,5750,54,0.028280170406845478,1.0,1.0,,,,,,,,,
28,6024,56,0.058091660720409194,0.5,0.8,,,,,,,,,
29,6250,58,0.029882430968458978,1.0,1.0,,,,,,,,,
30,6508,60,0.04863730368991241,0.5,0.8,,,,,,,,,
31,6702,62,0.05811511364013011,0.5,0.8,,,,,,,,,
32,6944,64,0.04036873576106155,0.5,0.8,,,,,,,,,
33,7138,66,0.03503038749992508,1.0,1.0,0.033146920973085796,0.5,0.8,,,,,,
34,7252,68,0.0497343473023336,0.5,0.8,,,,,,,,,
35,7398,70,0.048226500969208747,0.0,0.6666666666666666,,,,,,,,,
36,7528,72,0.0525104423781886,0.0,0.5,,,,,,,,,
37,7706,74,0.03846792393651082,1.0,1.0,,,,,,,,,
38,7932,76,0.027440237883647568,0.5,0.8,,,,,,,,,
39,8158,78,0.03217303123460234,1.0,1.0,,,,,,,,,
40,8368,80,0.03197057202392898,1.0,1.0,,,,,,,,,
41,8498,82,0.03872493130682415,0.5,0.8,0.03271652976141437,1.0,1.0,,,,,,
42,8724,84,0.028875731336135822,1.0,1.0,,,,,,,,,
43,8838,86,0.048096958201889986,0.5,0.8,,,,,,,,,
44,9064,88,0.038502167536118063,1.0,1.0,,,,,,,,,
45,9258,90,0.03719343622095645,1.0,1.0,,,,,,,,,
46,9404,92,0.034250784490618066,0.5,0.8333333333333334,,,,,,,,,
47,9518,94,0.03337634430546521,1.0,1.0,,,,,,,,,
48,9632,96,0.06485885238840379,0.5,0.8,,,,,,,,,
49,9746,98,0.025594104349178713,1.0,1.0,0.048088575878358825,0.5,0.8,,,,,,
50,9988,100,0.053873298540699284,0.5,0.8,,,,,,,,,
51,10134,102,0.03320889177220024,1.0,1.0,,,,,,,,,
